202.000000	-45766.649636	-31704.049612	102102.791024	-52401.988495	-56456.796105	-54012.968125	-65635.539965	-56190.497421	23580.822179	-36954.340274	-58463.423963	-49823.535958	-54173.945388	-56598.684978	-38024.340632	-45953.823144	0.000000	0.000000	0.000000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.609450	0.000000
204.000000	-45747.427135	-31683.955393	102103.193355	-52383.436547	-56436.835997	-53995.623171	-65615.222229	-56174.314758	23404.265750	-36935.408346	-58448.314184	-49804.492271	-54156.823952	-56578.277836	-38010.840179	-45935.248844	-0.032000	0.481000	0.078000	192.000000	127.000000	0.000000	15.000000	8.000000	2.000000	112.000000	0.000000	0.000000	0.000000	1740776367.609711	0.000000
206.000000	-45751.137525	-31682.167254	102082.026253	-52384.464727	-56439.249985	-53996.383130	-65623.693541	-56174.247703	23552.502519	-36933.776669	-58441.362791	-49802.145338	-54153.962929	-56581.518839	-38005.051077	-45938.020460	-0.032000	0.481000	0.078000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.609970	0.000000
208.000000	-45764.012130	-31695.824170	102096.644294	-52394.232439	-56449.665898	-54007.514299	-65625.906363	-56184.171877	23432.004265	-36923.628977	-58436.937146	-49791.729425	-54147.637385	-56568.733641	-38000.804246	-45928.163341	-0.032000	0.481000	0.078000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.610185	0.000000
210.000000	-45771.924647	-31702.999080	102117.163195	-52400.043893	-56458.696003	-54015.203299	-65635.763483	-56194.833660	23546.892231	-36955.547268	-58464.049812	-49822.910109	-54178.371033	-56603.580010	-38026.039365	-45959.209914	-0.032000	0.481000	0.078000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.610405	0.000000
212.000000	-45757.038386	-31686.123513	102094.207954	-52381.223724	-56441.619270	-53995.578467	-65619.580820	-56173.532447	23458.938117	-36929.865113	-58446.861320	-49797.496175	-54156.466324	-56576.199123	-38009.409667	-45932.477228	-0.032000	0.481000	0.078000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.610627	0.000000
214.000000	-45770.158860	-31698.461675	102063.809581	-52392.913686	-56453.622157	-54005.592049	-65627.470985	-56186.451755	23507.351995	-36939.945750	-58452.024573	-49808.493234	-54168.536266	-56589.699577	-38013.947071	-45944.502466	-0.049000	0.721500	0.116000	192.000000	126.500000	120.000000	15.000000	8.000000	2.000000	104.000000	0.000000	0.000000	0.000000	1740776367.610825	0.000000
216.000000	-45762.738080	-31691.532635	102080.238113	-52379.614398	-56440.836959	-53990.415214	-65612.785889	-56169.889113	23478.920576	-36925.618282	-58444.000297	-49792.645847	-54154.678184	-56572.935769	-38005.229891	-45927.425733	-0.049000	0.721500	0.116000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.611041	0.000000
218.000000	-45776.573810	-31703.066135	102109.653009	-52390.142070	-56456.103200	-54003.334523	-65633.483605	-56187.368177	23474.092600	-36941.733890	-58453.790361	-49807.934440	-54169.184467	-56590.593647	-38010.460199	-45940.635614	-0.049000	0.721500	0.116000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.611256	0.000000
220.000000	-45735.178379	-31661.424835	102112.603439	-52346.913796	-56414.528956	-53960.888560	-65593.563389	-56142.329412	23505.273283	-36914.978852	-58431.148044	-49779.659483	-54146.072763	-56561.558731	-37992.981135	-45910.974850	-0.049000	0.721500	0.116000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.611462	0.000000
222.000000	-45748.276502	-31675.461730	102083.434413	-52365.555151	-56426.040104	-53977.406499	-65601.498258	-56160.344918	23442.151957	-36911.402573	-58415.278305	-49773.311588	-54134.516911	-56557.825989	-37972.641048	-45902.280021	-0.049000	0.721500	0.116000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.611668	0.000000
224.000000	-45754.043252	-31682.144902	102097.873640	-52371.299549	-56427.001229	-53981.720386	-65606.460346	-56160.322566	23550.848490	-36922.734907	-58425.068370	-49783.056949	-54141.133027	-56565.917321	-37983.571051	-45907.443274	-0.056500	0.840750	0.138000	192.000000	127.000000	0.000000	15.000000	0.000000	2.500000	0.000000	0.000000	0.000000	0.000000	1740776367.611895	0.000000
226.000000	-45776.126775	-31705.569530	102117.878451	-52390.723215	-56444.569700	-54004.005075	-65624.744073	-56182.227276	23436.362855	-36946.919495	-58442.167454	-49804.313458	-54158.522684	-56590.504240	-37995.372772	-45928.722135	-0.056500	0.840750	0.138000	192.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1740776367.612129	0.000000
